PluginName,SkillName,SkillDescription
IPinfo,getOrganizationByIp,"The '/org' API endpoint provides the ASN and organization related to the user's input IP address. It returns a string including the ASN (prefixed by 'AS') and AS organization name.
"
Investigation,VisualizeInvestigationAsGraph,"Generates a graph for the last incident/issue being investigation upon as a GraphViz dot file. This skill is **not** to be intended for functionalities requiring non-graphical representations."
FileUploads,AskUploadedFiles,"Answers questions using user's uploaded files"
EASM,EASMCurateAssets,"Curate EASM assets by adding or removing a label and/or setting the state of an asset."
EASM,EasmGetWorkspaceLabels,"Queries labels and provides a link to manage labels."
EASM,GetArbitraryEasmQuery,"Get assets based on a natural language query."
EASM,GetAssetsAffectedByCVE,"Identify the assets a CVE impacts, their details, and when they were observed."
EASM,GetAssetsAffectedByCVSS,"Identify the assets a CVSS score impacts, their details, and when they were observed."
EASM,GetAttackSurfaceInsights,"Learn about high, medium, or low priority insights impacting attack surfaces."
EASM,GetAttackSurfaceSummary,"Discover what assets are in an attack surface."
EASM,GetEasmGeneralInfo,"Learn about Microsoft Defender EASM features, data, and other details."
EASM,GetExpiredCertificates,"Learn about expired SSL certificates, their details, and associated assets for attack surfaces."
EASM,GetExpiredDomains,"Learn about expired domains, their details, and assets for attack surfaces."
EASM,GetSHA1Certificates,"Learn about SSL certificates using SHA-1, their details, and associated assets."
AzureFirewall,CrossReferenceIdpsSignature,"Look for a given IDPS signature across your tenant, subscription, or resource group."
AzureFirewall,GetAuxiliaryIdpsData,"Expand on the description of an IDPS signature in the Azure Firewall logs."
AzureFirewall,GetIdpsSignaturesForFirewall,"Retrieve the top IDPS signature hits for an Azure Firewall."
AzureFirewall,GiveTargetedIdpsGuidance,"Generate recommendations to secure your environment using Azure Firewall's IDPS feature."
Fusion,AssessVulnerabilityImpact,"Gets a list of assets that have been impacted by a specific vulnerability / CVE"
Fusion,EnrichIncidentWithDeviceContext,"Retrieve detailed device information from Intune and Microsoft Defender for Endpoint. Device information may include device user, manufacturer and model, operating system information, compliance status, and usage-related timestamps."
Fusion,EnrichIncidentWithFileContext,"Enrich incident investigation with file context from Microsoft Defender for Endpoint.  Enriched data may include file hashes, device information, account information, file locations and associated timestamps."
Fusion,FindUserIpOrHostnameAccessRecords,"Gets a list of users who have accessed specific hostnames and/or IP addresses"
Fusion,FindUserScriptDownloads,"Gets a list of users who have downloaded a specific script"
Fusion,GetIncident,"Gets a summary of an incident given its GUID, number or URL."
Fusion,GetIncidentEntities,"Gets entities of an incident given its GUID, ID number or URL."
Shodan,"Check Shodan Host IP","Returns all services that have been found on the given host IP.
What does Shodan say about IP address 8.8.8.8?"
Shodan,"Get Shodan Host Count","This method behaves identical to ""/shodan/host/search"" with the only difference that this method does not return any host results, it only returns the total number of results that matched the query and any facet information that was requested. As a result this method does not consume query credits."
Shodan,"Get Shodan Host Search","Search Shodan using the same query syntax as the website and use facets to get summary information for different properties.

## **Requirements**

This method may use API query credits depending on usage. If any of the following criteria are met, your account will be deducted 1 query credit:

1. The search query contains a filter.
2. Accessing results past the 1st page using the ""page"". For every 100 results past the 1st page 1 query credit is deducted."
Shodan,"Get Shodan Host Search Facets","This method returns a list of facets that can be used to get a breakdown of the top values for a property."
Shodan,"Get Shodan Host Search Filters","This method returns a list of search filters that can be used in the search query."
Shodan,"Get Shodan Host Search Tokens","This method lets you determine which filters are being used by the query string and what parameters were provided to the filters."
Shodan,"Get Shodan Ports","This method returns a list of port numbers that the crawlers are looking for."
Shodan,"Get Shodan Protocols","This method returns an object containing all the protocols that can be used when launching an Internet scan."
Shodan,"Get Shodan Scans","Returns a listing of all the on-demand scans that are currently active on the account."
Shodan,"Get Shodan Scan ID","Check the progress of a previously submitted scan request. Possible values for the status are:

- SUBMITTING
- QUEUE
- PROCESSING
- DONE"
Shodan,"Get Shodan Alert ID Info","Returns the information about a specific network alert."
Shodan,"Get Shodan Alerts Info","Returns a listing of all the network alerts that are currently active on the account."
Shodan,"Get Shodan Alert Triggers","Returns a list of all the triggers that can be enabled on network alerts."
Shodan,"Get Shodan Notifers","Returns a list of all the notifiers that the user has created."
Shodan,"Get Shodan Notifer Provider","Returns a list of all the notification providers that are available and the parameters to submit when creating them."
Shodan,"Get Shodan Bulk Data","Returns a list of datasets that can be downloaded in Shodan."
Shodan,"Get Shodan Bulk Data Dataset","Returns a list of files that users can download from the dataset."
Shodan,"Get Shodan Domain","Get all the subdomains and other DNS entries for the given domain."
Shodan,"Get Shodan Domain Resolve","Look up the IP address for the provided list of hostnames."
Shodan,"Get Shodan Domain Reverse","Look up the hostnames that have been defined for the given list of IP addresses."
Shodan,"Get Shodan HTTP Headers","Shows the HTTP headers that your client sends when connecting to a webserver."
Shodan,"Get Shodan My IP","Get your current IP address as seen from the Internet."
Tanium,"List Child Processes for Process File",
Tanium,"Count Endpoints Having Package Version",
Tanium,"Get Vulnerability Test Results",
Tanium,"List Endpoints Having Package",
Tanium,"List Endpoints with Process Command",
Tanium,"List Endpoints with Process Name",
Tanium,"List Endpoints with Process MD5 Hash",
Tanium,"List Endpoints Vulnerable To CVE",
Tanium,"List Process SHA-256 Hashes and Versions",
Tanium,"List Processes Connected To IPv4 Address",
Tanium,"List Processes Ran As User",
Tanium,"Get Real-time Data from Endpoints",
Tanium,"List File Operations",
Tanium,"List Service Module Details",
Tanium,"List Service Process Details",
Tanium,"Get Logged In User",
Tanium,"List WMI Event Consumers",
Tanium,"View Endpoint Processes",
Tanium,"List File Details",
TufinMate,topologyPath,"Retrieve information of network access status.
"
TufinMate,UnusedRulesDeviceInformation,"Retrieve information about device using the device id.
"
TufinMate,ActiveWorkflowList,"Retrieve information of all active workflows.
"
TufinMate,AccessRequestWorkflows,"Retrieve a list of all the active Access-Request workflow.
"
TufinMate,RuleDecommissionWorkflows,"Retrieve a list of all the active Decommission workflow.
"
TufinMate,UnusedRules,"Retrieve information of unused rules for all devices.
"
TufinMate,UnusedRulesPerDevice,"Retrieve information of unused rules for a device id.
"
TufinMate,ShadowedRules,"Retrieve information of unused rules for a device id.
"
TufinMate,ShadowedRulesForDeviceId,"Retrieve information of shadowed rules for a device id.
"
TufinMate,PermissivenessLevelHigh,"Retrieve information of highly permissive rules.
"
TufinMate,PermissivenessLevelHighForDeviceId,"Retrieve information of highly permissive rules for device id.
"
TufinMate,PermissivenessLevelMedium,"Retrieve information of medium permissive rules.
"
TufinMate,PermissivenessLevelMediumForDeviceId,"Retrieve information of medium permissive rules for device id.
"
TufinMate,PermissivenessLevelLow,"Retrieve information of low permissive rules.
"
TufinMate,PermissivenessLevelLowForDeviceId,"Retrieve information of low permissive rules for device id.
"
TufinMate,Violations,"Retrieve information of violating rules.
"
TufinMate,ViolationsForDeviceId,"Retrieve information of violating rules on a specific device.
"
"Pure_Signal_Scout",ScoutFoundationAPI,"Provide insights about IP Addresses which tell about IPs are suspicious, malicious or informational.
The foundation API gets critical information about single and multiple IPs. The
foundation API contains the data which includes autonomous system Information (AS Info), tags, Insights
etc. Based on various IPs the data list includes the critical information regarding each IP. 
Based on Insights, users can find the IP rating such as suspicious etc. Insights appear on an IP address's summary view and offer useful information at a glance such as:

1. Combinations of malicious tags
2. Suspicious activities
3. Peculiar domains
4. Recently expired domain records

Insights are sorted by rank of descending maliciousness (malicious, suspicious, followed by informational). 
The overall rating of the IP is determined by the most malicious insight. A maximum of ten insights are shown per IP Address searched.

"
"Pure_Signal_Scout",ScoutIPDetailsAPI,"Provide IP information such as identity, communication (comms), passive DNS, open ports, x.509 certificate, fingerprints, WHOIS and summary

The  IP detail endpoint allows users to retrieve a comprehensive report about a specific IP address. The report includes detailed information about the IP address's communication history, including open ports, protocols, and associated domains. 
Users can get the IP address's X.509 certificates, fingerprints, and associated whois data. 
By specifying the start and end dates for the response, users can gain insights into the IP address's relationships with specific times. 
Additionally, users can specify the number of days for which the report should be generated, allowing them to analyze the IP address's history in more detail.
Scout is a threat investigation and hunting platform used to identify and track malicious infrastructure on the internet. By using the IP detail endpoint the user can find the following things about the IP address.

The details page separates information about a searched IP Address into various sections.
Summary: The summary section shows summary information for the queried IP Address.
Communication (Comms): The communications section contains aggregated network traffic information for the queried IP Address.
Open Ports: The open ports section contains open port banner information obtained from devices connected to the Internet. This data is continuously updated as multiple servers scan IP address ranges for open ports and attempt to retrieve information on the service it is advertising. The banner field can contain items like the returned web server header, SSH banner or X.509 PEM certificate and the service field may contain the identified service tied to the banner (ssh, HTTP).
PDNS: The Passive Domain Name System (PDNS) section contains Passive DNS resource records returned by public DNS servers. The Passive Domain Name System (PDNS) dataset contains many different record types. It can be used to establish which A records have been observed for a domain of interest, which name servers have been tied to a certain domain and which MX (mail server) or SOA records are known. These records are collected by passive monitoring of DNS query responses.
X.509: The X.509 section contains information on public key infrastructure (PKI) digital certificates collected through active probing of devices running SSL on public IP addresses.
Fingerprints: The fingerprints section tab contains the three possible fingerprint hash values are JA3, JA3S, and JARM. The JA3 fingerprint dataset contains passive a TLS (and predecessor SSL) fingerprint for the client (JA3) and a fingerprint for the server (JA3S). This dataset can be used to identify the likely application used by the client and server, as well as identify IP addresses of command and control servers that use a distinctive JA3 fingerprint. The JARM fingerprint dataset contains active/scanning of candidate IP addresses and the resultant TLS session negotiation between the client and server. When the scan initiates 10 TLS Client Hello packets a candidate IP address and captures specific attributes of the TLS Server Hello responses a TLS session. During the handshake, the client shares the TLS libraries/methods it supports. The server shares which libraries/methods it supports. The TLS negotiations are exchanged in clear text, allowing the supported libraries to identify likely applications used by the client and server. The distinct IPs column indicates we have observed the fingerprint hash on the following number of IPs during the search period.
Whois: The whois section shows Whois information for the IP Address.

"
"Pure_Signal_Scout",ScoutSearchAPI,"Provide Domain and Scout search query information including country codes, autonomous system information, tags, whois data, open ports, PDNS, communication, service detail, fingerprints, X.509 certificate.

The Scout search endpoint a list of search results using the Scout query language. When a query is provided, this
endpoint will search based on the query. This endpoint leverages the Scout query language to return a list of
search results, which contains the list of IPs. Provide a query to initiate a search. Results can be filtered by
the 'query', 'start_date', and 'end_date' parameters. Optionally, use the 'days' parameter to specify a relative
date range. The 'size' parameter allows control over the number of records returned.

The query can accept the following formats, such as IP address, domain name, website, or an advanced query using selectors.

```
104.18.213.12
93[.]184[.]216[.]34
jquery.com
example[.]com
```

"
ServiceNow,AnalyzeServiceNowIncidents,"Analyze or summarize one or many ServiceNow incidents based on an optional incident number, optional keyword, incident state, incident priority, date range, and the user's query or desired analysis."
ServiceNow,AppendCommentToServiceNowIncident,"Appends / adds comment to a specific ServiceNow Incident"
ServiceNow,GetServiceNowIncident,"Get detailed information about a ServiceNow Incident such as short description, priority, category, state, configuration item, business service, comments, and worknotes. **Must be used when user asks for both comments AND worknotes for an incident.**"
ServiceNow,GetServiceNowIncidentComments,"Gets detailed comments for a ServiceNow incident"
ServiceNow,GetServiceNowIncidentWorkNotes,"Gets detailed work notes for a ServiceNow incident"
ServiceNow,SearchServiceNowIncidents,"Searches for ServiceNow incidents based on optional keyword, incident state, and incident priority inputs"
Darktrace,GetModelbreaches,"Returns information about Darktrace ""modelbreaches"" sometimes referred to as ""model breaches"", models or alerts.
A modelbreach will occur when something unusual has occurred, it will have a score and also a category which are used in combination to represent how important the alert is to triage.





https://[instance]/modelbreaches?pbid=123&historicmodelonly=true


https://[instance]/modelbreaches?from=2020-02-03T00:00:00&to=2020-02-9T23:59:59&minimal=true&includeacknowledged=true


https://[instance]/modelbreaches?did=1&starttime=1577836800000&minscore=0.6

It's very important to use parameters minimal=true unless lots of detail is required and fulldevicedetails=true if you're particularly interested in the involved devices."
Darktrace,"GetModelbreachCommentsBy{pbid}","Returns comments made on specific Darktrace ""modelbreaches"" sometimes referred to as ""model breaches"", models or alerts.
A modelbreach indicates something unusual has occurred, it will have a score and also a category which are used in combination to represent how important the alert is to triage. Darktrace users add comments to give more context or information.

The `pbid` must be specified as part of the extension in the format: `/modelbreaches/[pbid]/comments`.


"
Darktrace,GetDevices,"The devices endpoint is most useful when you know the darktrace device identifier or ""did"".
It retrieves information known about that device.

The devices endpoint did parameter can be provided as a comma separated list of each did e.g. /devices?did={device id 1},{device id 2}. When using this comma separated did parameter the return value will be a response of an array with each devices information.

Examples:


GET https://[instance]/devices?did=1234&includetags=true #note that used include tags as we want as much device info as possible


https://[instance]/devices?did=9


https://[instance]/devices?seensince=3600

"
Darktrace,SearchDevices,"The devicesearch endpoint is most useful when you want to search for multiple devices and do not know the darktrace device identifier ""did"".
Multiple queries can be space-separated, for example `query=tag:""*T*"" label:""Test""` or `query=type:""laptop"" type:""desktop""`. Repeated field filters are treated as ""or"".
The default time frame is four weeks (28 days). This can be altered with the `seensince` parameter.

Examples:


https://[instance]/devicesearch?query=""sarah""&orderBy=lastSeen&order=asc #note the orderBy and order parameters will make this result more useful as it'll show recently active ones first.


https://[instance]/devicesearch?count=10&query=tag:""Antigena*""%20ip:""10.0.1.*""


https://[instance]/devicesearch?count=100&query=ip:""8.8.8.8""

Try to ensure you use the count parameter whenever a large list of devices is likely else too much information will be returned"
Darktrace,GetIncidentGroups,"An AI Analyst group serves as a container for an incident. Use this endpoint to obtain top-level information about detected incidents and filter them based on the available parameters. Groups have an identifier called ""groupid"" that starts with the 'g' character (e.g., g04a3f36e-4u8w-v9dh-x6lb-894778cf9633) and is 37 characters long. Groups consist of events, each with a unique ""uuid"" identifier, one of which will always be the ""groupid"" without the 'g' at the beginning (e.g., 04a3f36e-4u8w-v9dh-x6lb-894778cf9633).

AI Analyst incidents are an excellent starting point for threat hunting or identifying active threats, as their purpose is to autonomously investigate lower-level alerts, anomalies, and unusual behavior.

**Note:** The timestamps and groupid provided in the examples are for illustration purposes only. Replace them with the appropriate timestamps and groupid based on your specific requirements. Make sure Unix timestamps for `starttime` and `endtime` correct for the time period you desire, as this is a common area to make a mistake. In the example URLs, replace `[instance]` with your actual instance information.

Use Cases:







### Examples:

1. GET all AI Analyst incidents in the last 24 hours (replace the example timestamps with your desired time range):

```
https://[instance]/aianalyst/groups?starttime=1646092800000&endtime=1646179200000&includegroupurl=true
```

2. GET all critical AI Analyst incidents for the 7-day period from 1st to 7th March 2022 (replace the example timestamps with your desired time range):

```
https://[instance]/aianalyst/groups?starttime=1646092800000&endtime=1646611200000&includeallpinned=false&critical=true&includegroupurl=true
```

3. GET details of an AI Analyst incident with groupid=g04a3f36e-4u8w-v9dh-x6lb-894778cf9633 in French (replace the example groupid with your desired groupid and locale with your preferred language):

```
https://[instance]/aianalyst/groups?groupid=g04a3f36e-4u8w-v9dh-x6lb-894778cf9633&locale=fr_FR&includegroupurl=true
```

4. GET details of suspicious SaaS incidents with a minimum score of 70 in the last 7 days (replace the example parameters with your desired values):

```
https://[instance]/aianalyst/groups?suspicious=true&saasonly=true&minscore=70&includegroupurl=true
```"
Darktrace,GetDetails,"The details endpoints is useful whenever you need information about specific connections or events including:
    Get information for connections to an external hostname,
    network connections, tcp, udp, blocked by respond ( antigena ), between devices
    notices, events associated to the device (for saas iaas paas etc all low level information is notices as there are no connections)
To review all connections Darktrace RESPOND/Network ( antigena ) attempted to action use blockedconnections=all. Use blockedconnections=failed for failed attempts. blockedconnections=true for ones that have not failed.









pbid is used to get any information related to a specific modelbreach connections or notices that triggered / caused it.
If not using a pbid, always use either count OR a short time range. Otherwise too much information will be returned.

GET the most recent 100 unusual connections for device with did=1

https://[instance]/details?did=1&count=100&eventtype=unusualconnection

Fetch all connections from December 1st 2020 (12:00:00) to December 2nd 2020 (00:00:00) for device with did=1:

https://[instance]/details?did=1&from=2020-12-01T12:00:00&to=2020-12-02

What are the most recent 20 events from a device with did=1 to a device with did=2:

https://[instance]/details?did=1&ddid=2&count=20

What caused the modelbreach model breach with pbid=1234:

https://[instance]/details?pbid=1234

GET the most recent 20 dns (which is port 53) connections for a device with did=3:

https://[instance]/details?destinationport=53&did=3&count=20"
Darktrace,GetEndpointDetails,"Use this endpoint to gather detailed information about external domains, hostnames, or endpoints that Darktrace has encountered. This is primarily used to investigate external systems, such as unusual IPs or websites. For information about internal hosts within your network, use the `/devices` endpoint instead.

`/endpointdetails` returns location, IP address, and (optionally) device connection information for external IPs, hostnames, and domain names. It helps you gather intel about external endpoints and the devices that have interacted with them.

Use Cases:






### Notes

+ The ""popularity"" score = 100 – (IP or domain) rarity score.

+ For hostname queries, `additionalinfo=true` will add an `ips` object and a `locations` object with details of the IP addresses Darktrace has seen associated with the hostname and the physical locations of those IPs where derivable.

+ Queries for IPs that are internal (or treated as such) will return `""name"": ""internal_ip"",` in the response and different key/value fields.

### Example Request

`[instance]` in the following examples may be replaced with the instance IP or FQDN - for example, `https://10.0.0.1` or `https://euw1-1234-01.cloud.darktrace.com`


1. `GET` details for 8.8.8.8:

    ```
    https://[instance]/endpointdetails?ip=8.8.8.8
    ```

2. `GET` details for darktrace.com, including a list of devices that have connected to it:

    ```
    https://[instance]/endpointdetails?hostname=darktrace.com&devices=true
    ```"
Darktrace,Summarystatistics,"`/summarystatistics` returns simple statistics on device counts, processed bandwidth and the number of active Darktrace RESPOND actions.






### MITRE ATT&CK Framework

The homepage summary visualizes how vast quantities of raw events have been distilled by Darktrace analysis, and how these events are relevant to _tactics_ under the MITRE ATT&CK framework.

For model breaches and raw events, this data is retrieved from the `/summarystatistics` endpoint with the `mitreTactics` parameter.

For AI Analyst, this data is returned in the `groupStats.mitreTactics` object returned from the `/aianalyst/stats` endpoint."
Darktrace,GetWhatIf,"The terms E2E, PEM, and Proactive Exposure Management can be used interchangeably here.
The PEM info endpoint is only useful when you know the darktrace device identifier or ""did"".
It retrieves some general information known about the device and E2E data such as device metrics, CVEs, and campaigns.
The `airt/v1.0/copilot/metrics` endpoint returns a list of devices identified by Darktrace E2E or details of a specific device. The details include gerneral device information found in `/devices` and E2E metrics, CVEs and campaign details targeting the device.
"
Darktrace,EmailActionSummary,"For the Darktrace Email platform returns a summary of actions taken, broken down by action category.

"
Darktrace,EmailDashStats,"For the Darktrace Email platform returns time-series dashboard statistics for a given filter selection. Filter selection is limited to Direction (inbound or outbound) and short Tag IDs.



"
Darktrace,EmailDataLoss,"For the Darktrace Email platform returns Data Loss statistics for users ordered by total DLP breaches.

"
Darktrace,EmailUserAnomaly,"For the Darktrace Email platform returns User Anomaly statistics for users ordered by most anomalous.
"
Darktrace,"GetEmailBy{uuid}","

For the Darktrace Email platform return the summary of the specified email.

Short hand tags are difficult to understand, you can use the following friendly name mapping to improve readability:

    - out of character (value: ""ah"")
    - credential harvesting (value: ""ch"")
    - extortion (value: ""ex"")
    - phishing attachment (value: ""pa"")
    - spam (value: ""sp"")
    - phishing link (value: ""pl"")
    - solicitation (value: ""so"")
    - spoofing indicators (value: ""ss"")
    - vip impersonation (value: ""vi"")
    - malware or ransomware (value: ""mr"")"
Darktrace,"DownloadEmailBy{uuid}","For the Darktrace Email platform return the raw body of this email.
"
Darktrace,SearchEmails,"If you are searching for filters that 'contain' some substring then use the ~* operator.




Search for emails using criteria defined in the request body.

The following is a brief description of each filter and their possible values for the apiFilter field:

- Recipient.Email # The recipient's email address. (type: text_free)
- Header.Other.Message ID # The content of the Message-ID header for the email. (type: text_free)
- Header.From.Email # The email address present in the From header, also known as the header-From address. (type: text_free)
- Header.Subject.Subject Value # The subject line of the email. (type: text_free)
- Action.Action Taken # Actions taken against the email. (type: text_enum)
   - Hold (value: hold)
   - Move To Junk (value: moveToJunk)
   - Link Action (value: link_actions)
   - Attachment Action (value: attachment_actions)
- Antigena Tag # Emails with this tag. (type: text_enum)
   - Add all the possible values from the list in the enum schema, some interesting examples are:
    - out of character (value: ""ah"")
    - credential harvesting (value: ""ch"")
    - extortion (value: ""ex"")
    - phishing attachment (value: ""pa"")
    - spam (value: ""sp"")
    - phishing link (value: ""pl"")
    - solicitation (value: ""so"")
    - spoofing indicators (value: ""ss"")
    - vip impersonation (value: ""vi"")
    - malware or ransomware (value: ""mr"")
- Email.Antigena Email Anomaly # The combined Antigena anomaly score for this email. (type: numeric_boundary)
- Recipient.Domain.Domain # The domain name of the recipient's email address. (type: text_free)
- Header.From.Domain # The root domain of the header-From address. (type: text_free)
- Connection.Direction # The direction of the email with respect to the organization. (type: text_enum)
    - Inbound (value: inbound)
    - Outbound (value: outbound)
- Link.Contains Links # Whether an email contains links. (type: flag)
- Attachment.Contains Attachment # Whether an email contains an attachment. (type: flag)
- Connection.Email.Recipients.Total Number # The total number of recipients for this email. (type: numeric_free)
- Model Tag Severity # Emails with a tag of this severity applied. (type: text_enum)
    - Info (value: info)
    - Warn (value: warn)
    - Critical (value: critical)
- Request Release Status # Status of any release requests by one of the email recipients. (type: text_enum)
    - Requested (value: requested)
    - Approved (value: approved)
    - Rejected (value: rejected)

Examples:

Get me any emails to `test@holdingsinc.com` that occurred in the last week (ensure you specify the correct unix timestamps for the time range you desire):

query:
    ```
    https://[instance]/agemail/api/ep/api/v1.0/emails/search?dtimeFrom=2024-10-01T00:00:00Z&dtimeTo=2024-10-08-00:00:00Z&page=0&itemsPerPage=20&query={""criteriaList"":[{""apiFilter"":""Recipient.Email"",""value"":""test@holdingsinc.com"",""operator"":""=""}],""mode"":""and""}
    ```


Get me any emails from `test@holdingsinc.com` that occurred in the last week (ensure you specify the correct timestamps for the time range you desire):

query:
    ```
    https://[instance]/agemail/api/ep/api/v1.0/emails/search?dtimeFrom=2024-10-01T00:00:00Z&dtimeTo=2024-10-08-00:00:00Z&page=0&itemsPerPage=20&query={""criteriaList"":[{""apiFilter"":""Header.From.Email"",""value"":""test@holdingsinc.com"",""operator"":""=""}],""mode"":""and""}
    ```


Get me any emails that are critical severity in the the past month

query:
    ```
    https://[instance]/agemail/api/ep/api/v1.0/emails/search?dtimeFrom=2024-10-01T00:00:00Z&dtimeTo=2024-09-01-00:00:00Z&page=0&itemsPerPage=20&query={""criteriaList"":[{""apiFilter"":""Model Tag Severity"",""value"":""critical"",""operator"":""=""}],""mode"":""and""}
    ```

Search for emails with model tag severity of informational or emails that have been sent to ""jack.bower""

query:
    ```
    https://[instance]/agemail/api/ep/api/v1.0/emails/search?dtimeFrom=2024-10-22T00:00:00Z&dtimeTo=2024-10-29T11:44:45Z&itemsPerPage=20&page=0&query={""criteriaList"":[{""apiFilter"":""Model Tag Severity"",""value"":""info"",""operator"":""=""},{""apiFilter"":""Recipient.Email"",""value"":""ben.akrill"",""operator"":""~*""}],""mode"":""or""}
    ```

To create a search request, follow these steps:

1) Calculate the dtimeFrom and dtimeTo UTC timestamps (yyyy-MM-ddTHH:mm:ssZ), make sure these are set to the desired time range. Default dtimeFrom to the current timestamp.
2) Create the query object, this should be a json object. The value must be formatted as a valid object enclosed within curly braces {...} so that the endpoint can directly index into it.
2a) Ensure the criteriaList items are correct and the mode is speciifed
3) Combine everything together the page and itemsPerPage count, keep in mind you may need to iterate if more than 20 emails are found."
Darktrace,EmailGetTags,"For the Darktrace Email platform return information about all tags.
"
Darktrace,EmailGetActions,"For the Darktrace Email platform return information about Darktrace Email actions.
"
Darktrace,EmailGetFilters,"For the Darktrace Email platform return filters available to use in the /emails/search endpoint.
"
forescoutrem,"get_rem_assets","Retrieves a list of all REM Assets and their related properties. These properties include a risk score and any associated events impacting that score, as well as a risk severity and device criticality. Risk indicators include exposed services and confguration findings, with the exposed services having the service name, port/protocol and the potential exposure from that service. Configuration findings provide a description, severity, timestamp along with running application name, source, compliance status and any other relevant information for that finding. An overall compliance status is provided along with policy, rule name and status of individual compliance policies that feed this status.
A list of threats for a host is also returned with a threat name, description, status and if relevant a case number and the creation time. Network interface information with Mac and/or IP is provided. Where available, network access information is also provided to help locate the host on a wired or wireless network, including switch and switch port information, vlan information, wireless AP and SSID information, and 802.1x information to name a few. In addition, an extensive amount of other host information is provided if available within Forescout, which includes, but is not limited to, running services and processes, installed applications, hostname, domain name, open ports, VPN user details and IP, user name, title, department, email, and device function, vendor, operating system and model.
For medical or operational technology devices, further relevant host information is provided specific to those device types, such as purdue level, or medical device function. This also provides a list of Forescout eyeSight related properties such as segment name, path and group memberships.
This path has 4 required parameters, the Start and End parameters should always be formatted in iso_utc time, YYYY-MM-DDTHH:MM:SS.sssZ, while the Sort Order can be either ASCENDING or DESCENDING. The Order By parameter can be any of the values returned by this API, as defined in the schema. When none of these have been defined, the default should be to look at the last 7 days and sort by risk_score DESCENDING
Whenever any information is returned to a user, you **should always** include either hostname, IP address or MAC address so that further queries can be made for a specific host.
Whenever returning multiple devices in a response, you **should always** identify the device by IP address.
Unless a user specifically asks otherwise, whenever providing events or a timeline, you **should always** explain this from the time of an incident going backwards
"
SecurityGuardian,"Get the Top 25 Active Threat Indicators / Findings Detected by Security Guardian","Get Active Threat Indicators with top 25 findings detected by Security Guardian.  Returns Threat Indicators / Top 25 Findings / Issues and associated information found in the Security Guardian logs. The information returns data such as indicator, object names and SIDs involved along with timing."
SecurityGuardian,"Get Active Threat Indicators for Active Directory by Type and Count","Returns the count of active indicators in the Security Guardian logs. The data is grouped by the indicator and sorted by the count in descending order."
SecurityGuardian,"Get all Active Threat Indicators for Active Directory SID","Query Security Guardian Logs for Active Directory SID and return any threat indicators the SID may be associated with along with supporting information."
SecurityGuardian,"Get all Active Tier Zero findings for Active Directory by Count and Type","Get all Active Tier Zero findings for Active Directory by count and type. Sorted in descending order by count."
SecurityGuardian,"Get first 100 active indicators that partially match indicator or finding name","Get the first 100 active indicators and all values that match indicator or finding name (either partial or full indicator name matching).  Use single Keyword for best results"
SecurityGuardian,"Check Security Guardian Setup","Checks to ensure Security Guardian is setup properly and logs are being generated."
Surface,SurfaceDeviceModelKnowledgeBase,"Retrieves information about Surface Devices from Surface documentation based on devices held or owned by current user's organisation/enterprise"
Surface,SurfaceKnowledgeBase,"Retrieves information from Surface documentation about Microsoft Surface Devices."
Surface,SurfaceWarrantyCoverageClaimsReport,"Gets the warranty coverage report for Surface devices."
Purview,DataSecurityAnalytics,"This skill answers analytics type of user queries on data security related data maintained in Microsoft Purview."
Purview,DspmOutOfScope,"This skill answers Out of scope prompts inputted in DSPM solution. Out of scope prompts include a variety of topics that can't be answered with PurviewKB nor DSA skill."
Purview,GetDataRiskSummary,"Summarizes risk of the data associated with the security incident or a Data Loss Prevention alert."
Purview,GetUserRiskSummary,"Provides an overview of user risk using Purview Insider Risk Management."
Purview,PolicyGapQuerySkill,"Queries policy Gaps and shortfalls in tenant enviroment."
Purview,PurviewKnowledgeBase,"Ask questions or search for information about Microsoft Purview solutions."
Purview,SummarizePurviewAlert,"Summarizes Microsoft Purview alerts from Purview Data Loss Prevention and Insider Risk Management."
Purview,TriagePurviewAlerts,"Retrieves recent Purview Data Loss Prevention alerts based on severity and status."
Purview,ZoomIntoPurviewDataRisk,"Identifies attributes like labels or activities for the data in the context of Microsoft Purview."
Purview,ZoomIntoPurviewUserRisk,"Provides information about the user's activities from Purview Insider Risk Management."
M365,DefenderValidateEmailFeedback,
M365,GetDefenderDeviceSummary,"Get device insights, security issues, and other important information."
M365,GetDefenderIdentitySummary,"Get identity insights, security concerns and potential anomalies"
M365,GetDefenderIncidentReport,"Get a report about an attack and your response, including who took action and when."
M365,GetDefenderIncidents,"Get the list of incidents or find specific incidents."
M365,GetFileAnalysis,"Inspect a file using available information, including API calls, certificates, and strings."
M365,GetIncidentGuidedResponse,"Get step-by-step response recommendations for an incident."
DruvaSentinelPlugin,GetAdminSigninData,"Get Admin Sign in data for last N days"
DruvaSentinelPlugin,GetAdminSigninDataByAdmin,"Get Admin Sign in count by admin"
DruvaSentinelPlugin,GetAnamolyinLoginEvents,"Get Anaomly in Login Events"
DruvaSentinelPlugin,GetDataAnamoliesinLastNDays,"Get Anamolies in Last N Days"
DruvaSentinelPlugin,GetEncryptionAlertsinLastNDays,"Get Encryption Alerts in Last N Days"
DruvaSentinelPlugin,GetDataAnamoliesByResourceName,"Get Anamolies in Last N Days by Resource Name"
